active_shocks,arrivals_DVP,arrivals_PVP,arrivals_XBPAY,backlog_manual_peak,compliance_state,down_compliance_flag,down_settlement_flag,failed_DVP,failed_PVP,failed_XBPAY,held_DVP,held_PVP,held_XBPAY,queued_DVP,queued_PVP,queued_XBPAY,scenario,seed,settled_DVP,settled_PVP,settled_XBPAY,settlement_state,t_bucket_end,t_bucket_start,world
,1,3,0,0,OK,0.0,0.0,0,0,0,1,0,0,0,0,0,S0,10,0,1,0,OK,10.0,0.0,A
,1,2,3,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,0,0,OK,20.0,10.0,A
,2,1,0,0,DOWN,1.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,2,0,DOWN,30.0,20.0,A
,0,1,2,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,OK,40.0,30.0,A
,3,0,0,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,OK,50.0,40.0,A
,1,3,4,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,4,S0,10,0,1,0,OK,60.0,50.0,A
,0,0,1,1,OK,0.0,0.0,0,0,0,0,0,0,0,0,1,S0,10,1,2,4,OK,70.0,60.0,A
,1,0,5,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,5,S0,10,1,0,3,OK,80.0,70.0,A
,2,1,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,1,S0,10,1,0,4,OK,90.0,80.0,A
,2,0,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,1,S0,10,2,1,0,OK,100.0,90.0,A
,3,3,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,2,S0,10,2,0,2,OK,110.0,100.0,A
,2,0,0,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,3,1,OK,120.0,110.0,A
,0,1,1,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,2,0,0,OK,130.0,120.0,A
,2,0,3,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,OK,140.0,130.0,A
,2,3,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,2,S0,10,0,0,1,OK,150.0,140.0,A
,0,0,3,0,OK,0.0,0.0,0,0,0,0,0,1,0,0,3,S0,10,4,2,1,OK,160.0,150.0,A
,1,1,2,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,1,S0,10,0,2,3,OK,170.0,160.0,A
,1,1,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,0,1,OK,180.0,170.0,A
,2,1,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,2,S0,10,0,1,0,OK,190.0,180.0,A
