active_shocks,arrivals_DVP,arrivals_PVP,arrivals_XBPAY,backlog_manual_peak,compliance_state,down_compliance_flag,down_settlement_flag,failed_DVP,failed_PVP,failed_XBPAY,held_DVP,held_PVP,held_XBPAY,queued_DVP,queued_PVP,queued_XBPAY,scenario,seed,settled_DVP,settled_PVP,settled_XBPAY,settlement_state,t_bucket_end,t_bucket_start,world
,1,3,0,0,DOWN,1.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,1,0,OK,10.0,0.0,B
,1,2,3,0,DOWN,1.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,DOWN,20.0,10.0,B
,2,1,0,0,OK,0.0,1.0,0,0,0,1,0,0,0,0,0,S0,10,0,0,0,DOWN,30.0,20.0,B
,0,1,2,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,DOWN,40.0,30.0,B
,3,0,0,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,DOWN,50.0,40.0,B
,1,3,4,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,DOWN,60.0,50.0,B
,0,0,1,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,0,DOWN,70.0,60.0,B
,1,0,5,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,0,3,OK,80.0,70.0,B
,2,1,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,1,1,OK,90.0,80.0,B
,2,0,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,3,0,1,OK,100.0,90.0,B
,3,3,2,1,OK,0.0,0.0,0,0,0,0,1,0,0,0,0,S0,10,3,2,2,OK,110.0,100.0,B
,2,0,0,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,2,1,0,OK,120.0,110.0,B
,0,1,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,1,1,OK,130.0,120.0,B
,2,0,3,0,OK,0.0,0.0,0,0,0,1,0,0,0,0,0,S0,10,1,0,3,OK,140.0,130.0,B
,2,3,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,3,3,1,OK,150.0,140.0,B
,0,0,3,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,0,0,4,OK,160.0,150.0,B
,1,1,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,1,2,OK,170.0,160.0,B
,1,1,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,10,1,1,2,OK,180.0,170.0,B
,2,1,2,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,10,2,1,0,DOWN,190.0,180.0,B
