amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,reason,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_fail,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
,ASSET1,False,A001,674.3333440743413,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,3.3062106592747798,0.0,0.0,False,0.7596347992773738,6,,,,90.85354174029405,7.422202053519623,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,True,,3.4527878999447346,0.1465772406699548,0.7755217566457988,0.7738851148024284,0.7462943844880523,shared,0.7629941708982055,S0-DVP-00000080,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,5.638876779657405,0.0,0.0,False,0.8752091353064589,6,1312.2942843817264,A016,A001,,,0.0,0.9460390549091506,,,False,0,0.0,S0,11,,,SETTLED,True,,10.571345509684436,4.932468730027031,0.9223349386232199,0.8028479302607731,0.8976003528631878,shared,0.8746402984720199,S0-PVP-00000047,,A
,ASSET1,False,A000,890.440410093576,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,12.57828562956672,0.0,0.0,False,0.8513402971496011,6,,,,122.29925515066114,7.28083265099724,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,15.922437414244055,3.344151784677335,0.9684711107959674,0.7688310912014786,0.8540007265066428,shared,0.8587967045606584,S0-DVP-00000081,,A
1193.5778597827482,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,4.0,1,J01,J02,7.147465269272956,0.0,0.0,False,0.671433910072539,6,,,,,,2.5,,,A005,False,0,0.0,S0,11,,A015,SETTLED,False,,18.669592561184334,11.522127291911378,0.6517195720254847,0.7546700541506522,0.7282207647442593,shared,0.6954956422130949,S0-XBPAY-00000001,0,A
,ASSET1,False,A010,753.1411378365779,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,4.651217821201083,0.0,0.0,False,0.8732740928800743,6,,,,95.2885917629382,7.903791250376171,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,20.459655681251718,15.808437860050635,0.843038924779035,0.8971903233206094,0.9425764863998367,shared,0.885870784051926,S0-DVP-00000082,,A
1057.1398658429905,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J02,3.4268267461183264,0.0,0.0,False,0.8931259362427524,6,,,,,,2.5,,,A000,False,0,0.0,S0,11,,A014,SETTLED,True,,20.467730592391046,17.04090384627272,0.8694658946540282,0.9446251076727591,0.8440442853490973,shared,0.8888774320322779,S0-XBPAY-00000002,1,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,10.468601998027715,0.0,0.0,False,0.8925802115202085,6,1614.1990283214557,A019,A017,,,0.0,0.9005065148345072,,,False,0,0.0,S0,11,,,SETTLED,True,,20.963420443006072,10.494818444978357,0.77554485434543,0.8176172661521315,0.9811671634818402,shared,0.8718979414039638,S0-PVP-00000048,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,19.10257109831618,0.0,0.0,False,0.6599970941059832,6,2493.4553113174206,A009,A003,,,0.0,0.9481711709718568,,,False,0,0.0,S0,11,,,SETTLED,True,,21.109734980944246,2.0071638826280678,0.7207214612730081,0.597853786972031,0.7534489668070933,shared,0.6784036806528198,S0-PVP-00000046,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,12.019930375506311,0.0,0.0,False,0.893051558294341,6,2696.587553452871,A017,A004,,,0.0,1.072691150643016,,,False,0,0.0,S0,11,,,SETTLED,True,,22.58307734245524,10.56314696694893,1.0,0.8736869007327667,0.8966903179116049,shared,0.9112960670466107,S0-PVP-00000049,,A
1727.015867657694,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J02,J01,18.483303918374155,0.0,0.0,False,0.6467398162462104,6,,,,,,2.5,,,A001,False,0,0.0,S0,11,,A011,SETTLED,True,,24.684052806325358,6.200748887951202,0.6413928547503286,0.5853580080866986,0.7063098980112189,shared,0.6453080786681333,S0-XBPAY-00000000,0,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,9.909328626558747,0.0,0.0,False,0.9068856577906603,6,2211.8051100026455,A003,A011,,,0.0,1.0319966405645322,,,False,0,0.0,S0,11,,,SETTLED,True,,24.971923893496818,15.062595266938072,0.8771066165458894,0.8721869779170603,0.8941385653356555,shared,0.8914406950759852,S0-PVP-00000050,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,8.780668186374697,0.0,0.0,False,0.8513989949315915,6,2525.025661094014,A007,A009,,,0.0,0.9641825874554635,,,False,0,0.0,S0,11,,,SETTLED,True,,31.13486735219957,22.354199165824873,0.886599603447228,0.870322262272898,0.9374596951992156,shared,0.879435910156505,S0-PVP-00000051,,A
,ASSET1,False,A008,1175.4354942910525,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,11.080445290710674,0.0,0.0,False,0.972860200138953,6,,,,132.65333091854197,8.860957249636261,0.0,,,,False,0,0.0,S0,11,A004,,SETTLED,True,,32.15564899470223,21.07520370399156,0.9619549747868059,0.9976317865636589,0.8346559672092853,shared,0.9479926257675313,S0-DVP-00000083,,A
1885.6201687131716,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J00,10.121225684256032,0.0,0.0,False,0.8658610959150987,6,,,,,,2.5,,,A004,False,0,0.0,S0,11,,A012,SETTLED,True,,32.4775744086327,22.356348724376666,0.7650521574096638,0.8198836292071476,0.9039216162568999,shared,0.8441159189407819,S0-XBPAY-00000003,2,A
,ASSET1,False,A000,1382.255535721072,EUR,,,,0.0,0.0,0,1.0,DVP,0,4.0,1,,,7.839378915670277,0.0,0.0,False,0.7138467570379047,6,,,,118.20153250058,11.694057652884402,0.0,,,,False,0,0.0,S0,11,A014,,SETTLED,False,,35.69768837232965,27.858309456659374,0.8440976133798848,0.6659302142906176,0.6697562641913711,shared,0.7214955211875366,S0-DVP-00000084,,A
454.3298136615415,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J00,3.938160293011876,0.0,0.0,False,0.6711987783913007,6,,,,,,2.5,,,A012,False,0,0.0,S0,11,,A013,SETTLED,True,,37.67678232463459,33.73862203162271,0.6433385595047557,0.5866834225093931,0.7234301491593824,shared,0.6591699375912266,S0-XBPAY-00000006,0,A
