active_shocks,arrivals_DVP,arrivals_PVP,arrivals_XBPAY,backlog_manual_peak,compliance_state,down_compliance_flag,down_settlement_flag,failed_DVP,failed_PVP,failed_XBPAY,held_DVP,held_PVP,held_XBPAY,queued_DVP,queued_PVP,queued_XBPAY,scenario,seed,settled_DVP,settled_PVP,settled_XBPAY,settlement_state,t_bucket_end,t_bucket_start,world
,2,2,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,2,2,1,OK,10.0,0.0,B
,1,3,2,0,OK,0.0,0.0,0,0,0,0,1,0,0,0,0,S0,11,1,2,1,OK,20.0,10.0,B
,2,2,1,0,OK,0.0,0.0,0,0,0,0,1,0,0,0,0,S0,11,2,2,2,OK,30.0,20.0,B
,0,2,4,0,OK,0.0,0.0,0,0,0,0,0,2,0,0,0,S0,11,0,3,3,OK,40.0,30.0,B
,6,1,4,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,4,0,2,OK,50.0,40.0,B
,1,1,7,0,OK,0.0,0.0,0,0,1,0,0,0,0,0,0,S0,11,1,1,7,OK,60.0,50.0,B
,1,1,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,1,1,2,OK,70.0,60.0,B
,0,2,2,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,0,2,1,OK,80.0,70.0,B
,1,1,1,0,OK,0.0,0.0,0,1,0,0,1,0,0,0,0,S0,11,1,0,1,OK,90.0,80.0,B
,3,2,4,0,OK,0.0,1.0,0,0,0,0,1,0,0,0,0,S0,11,1,0,2,DOWN,100.0,90.0,B
,2,1,0,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,0,1,0,OK,110.0,100.0,B
,1,1,3,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,2,1,2,OK,120.0,110.0,B
,3,4,2,0,OK,0.0,0.0,0,0,0,0,1,0,0,0,0,S0,11,3,4,2,OK,130.0,120.0,B
,2,4,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,2,3,2,OK,140.0,130.0,B
,1,0,1,0,OK,0.0,0.0,0,0,1,0,0,0,0,0,0,S0,11,0,1,0,OK,150.0,140.0,B
,3,2,1,0,OK,0.0,0.0,0,0,0,0,0,0,0,0,0,S0,11,4,2,1,OK,160.0,150.0,B
,2,1,5,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,11,0,1,1,DOWN,170.0,160.0,B
,0,1,0,0,OK,0.0,1.0,0,0,0,0,0,0,0,0,0,S0,11,0,0,0,DOWN,180.0,170.0,B
,0,2,0,0,DOWN,1.0,1.0,0,0,0,0,0,0,0,0,0,S0,11,0,0,0,DOWN,190.0,180.0,B
